"","cell_id","group"
"131","mpfchoom-1","InsertTissueIDHere"
"132","mpfgnaai-1","InsertTissueIDHere"
"133","mpfgpbfk-1","InsertTissueIDHere"
"134","mpfhejfh-1","InsertTissueIDHere"
"135","mpfhmelk-1","InsertTissueIDHere"
"136","mpfhpmhb-1","InsertTissueIDHere"
"137","mpfoeopa-1","InsertTissueIDHere"
"138","mpgdfbaf-1","InsertTissueIDHere"
"139","mpgdflmd-1","InsertTissueIDHere"
"140","mpgfippa-1","InsertTissueIDHere"
"141","mphmibdo-1","InsertTissueIDHere"
"142","mphoefne-1","InsertTissueIDHere"
"143","mphonkhp-1","InsertTissueIDHere"
"144","mphpjmjb-1","InsertTissueIDHere"
"145","mpiahple-1","InsertTissueIDHere"
"146","mpicdgem-1","InsertTissueIDHere"
"147","mpicidkf-1","InsertTissueIDHere"
"148","mpidagfm-1","InsertTissueIDHere"
"149","mpmhinai-1","InsertTissueIDHere"
"150","mpmibolg-1","InsertTissueIDHere"
"151","mpmikahm-1","InsertTissueIDHere"
"152","mpmmbocd-1","InsertTissueIDHere"
"153","mpmnhnhd-1","InsertTissueIDHere"
"154","mpmnojgk-1","InsertTissueIDHere"
"155","mpmopglb-1","InsertTissueIDHere"
"156","nadkgibh-1","InsertTissueIDHere"
"157","nafhgeca-1","InsertTissueIDHere"
"158","nagifncn-1","InsertTissueIDHere"
"159","nagmeabh-1","InsertTissueIDHere"
"160","nagmhcgh-1","InsertTissueIDHere"
"161","nagmjegn-1","InsertTissueIDHere"
"162","nagmmhpa-1","InsertTissueIDHere"
"163","nagncbge-1","InsertTissueIDHere"
"164","nagnkgcg-1","InsertTissueIDHere"
"165","nagnodik-1","InsertTissueIDHere"
"166","nagobplh-1","InsertTissueIDHere"
"167","nagpajlk-1","InsertTissueIDHere"
"168","nagpionc-1","InsertTissueIDHere"
"169","nagpjdfc-1","InsertTissueIDHere"
"170","nahahgjn-1","InsertTissueIDHere"
"171","nahainmi-1","InsertTissueIDHere"
"172","nahajeje-1","InsertTissueIDHere"
"173","nahbhpao-1","InsertTissueIDHere"
"174","nahddoej-1","InsertTissueIDHere"
"175","nahdfhll-1","InsertTissueIDHere"
"176","naiglbnj-1","InsertTissueIDHere"
"177","naijhfle-1","InsertTissueIDHere"
"178","naikchng-1","InsertTissueIDHere"
"179","naikoeki-1","InsertTissueIDHere"
"180","nailnncc-1","InsertTissueIDHere"
"181","naiookmp-1","InsertTissueIDHere"
"182","naipehkk-1","InsertTissueIDHere"
"183","najajpik-1","InsertTissueIDHere"
"184","najmjddb-1","InsertTissueIDHere"
"185","ncplgghj-1","InsertTissueIDHere"
"186","ncplgihl-1","InsertTissueIDHere"
"187","ncpnbbco-1","InsertTissueIDHere"
"188","ncpokbnk-1","InsertTissueIDHere"
"189","ncppcilj-1","InsertTissueIDHere"
"190","ndbkpoij-1","InsertTissueIDHere"
"191","ndcehlel-1","InsertTissueIDHere"
"192","ndcfidim-1","InsertTissueIDHere"
"193","ndciibjm-1","InsertTissueIDHere"
"194","ndifhkjo-1","InsertTissueIDHere"
"195","ndikfkff-1","InsertTissueIDHere"
"196","ndjlhfge-1","InsertTissueIDHere"
"197","ndkcapnm-1","InsertTissueIDHere"
"198","ndlefpim-1","InsertTissueIDHere"
"199","ndmbcfnd-1","InsertTissueIDHere"
"200","ndmcheii-1","InsertTissueIDHere"
"201","ndmdfljl-1","InsertTissueIDHere"
"202","ndmfjgfi-1","InsertTissueIDHere"
"203","ndpemeie-1","InsertTissueIDHere"
"204","nealeedk-1","InsertTissueIDHere"
"205","necdnhcl-1","InsertTissueIDHere"
"206","necnmgnj-1","InsertTissueIDHere"
"207","necpgebd-1","InsertTissueIDHere"
"208","nedbofol-1","InsertTissueIDHere"
"209","neecacba-1","InsertTissueIDHere"
"210","neeccfhf-1","InsertTissueIDHere"
"211","neecejoo-1","InsertTissueIDHere"
"212","needfopl-1","InsertTissueIDHere"
"213","needpneg-1","InsertTissueIDHere"
"214","neeejhmp-1","InsertTissueIDHere"
"215","neefenbk-1","InsertTissueIDHere"
"216","neffcjpm-1","InsertTissueIDHere"
"217","negbleii-1","InsertTissueIDHere"
"218","negfeiah-1","InsertTissueIDHere"
"219","nekdnjef-1","InsertTissueIDHere"
"220","nekeifld-1","InsertTissueIDHere"
"221","nelpngmb-1","InsertTissueIDHere"
"222","nepbkida-1","InsertTissueIDHere"
"223","nokeoepf-1","InsertTissueIDHere"
"224","noklnfip-1","InsertTissueIDHere"
"225","nomhbnih-1","InsertTissueIDHere"
"226","nonhchbi-1","InsertTissueIDHere"
"227","nooohfgh-1","InsertTissueIDHere"
"228","npalpigi-1","InsertTissueIDHere"
"229","npcdmplp-1","InsertTissueIDHere"
"230","npdaljfk-1","InsertTissueIDHere"
"231","npdccpei-1","InsertTissueIDHere"
"232","npdmjhno-1","InsertTissueIDHere"
"233","nphbione-1","InsertTissueIDHere"
"234","npieoinh-1","InsertTissueIDHere"
"235","npjgmkla-1","InsertTissueIDHere"
"236","npkjpnil-1","InsertTissueIDHere"
"237","npkooejo-1","InsertTissueIDHere"
"238","npnbicao-1","InsertTissueIDHere"
"239","oajanfha-1","InsertTissueIDHere"
"240","oakkango-1","InsertTissueIDHere"
"241","oapcloal-1","InsertTissueIDHere"
"242","obcdmidm-1","InsertTissueIDHere"
"243","obclmdnm-1","InsertTissueIDHere"
"244","obclokgl-1","InsertTissueIDHere"
"245","obcnmhge-1","InsertTissueIDHere"
"246","obcpffik-1","InsertTissueIDHere"
"247","obegaaea-1","InsertTissueIDHere"
"248","obghjnio-1","InsertTissueIDHere"
"249","obiokmij-1","InsertTissueIDHere"
"250","objdcido-1","InsertTissueIDHere"
"251","obkbbepe-1","InsertTissueIDHere"
"252","obmeilam-1","InsertTissueIDHere"
"253","obmfmbak-1","InsertTissueIDHere"
"254","obnapchd-1","InsertTissueIDHere"
"255","obnobnpd-1","InsertTissueIDHere"
"256","obomldoo-1","InsertTissueIDHere"
"257","obpdjdkc-1","InsertTissueIDHere"
"258","occfmnbh-1","InsertTissueIDHere"
"259","ocdcjjpp-1","InsertTissueIDHere"
"260","ocdgffch-1","InsertTissueIDHere"
"261","ocgdnmja-1","InsertTissueIDHere"
"262","ocieiakj-1","InsertTissueIDHere"
"263","ockgfick-1","InsertTissueIDHere"
"264","ockobekf-1","InsertTissueIDHere"
"265","oclmopfl-1","InsertTissueIDHere"
"266","ocngjifg-1","InsertTissueIDHere"
