#Selection name: Selection 2
#Area (µm^2): 6937406.86
Cell ID,Cluster,Transcripts,Area (µm^2)
mmfiiiaj-1,Cluster 5,0,28.28
mmcjehdg-1,Cluster 12,0,24.31
mmkndjme-1,Cluster 10,0,4.17
mmkkonff-1,Cluster 9,0,23.75
mmkjhimp-1,Cluster 7,0,15.04
mmklpdej-1,Cluster 7,0,20.09
mmkjgank-1,Cluster 4,0,29.89
mmkjkekf-1,Cluster 2,0,10.27
mmklnifl-1,Cluster 2,0,5.16
mmklnelc-1,Cluster 21,0,5.09
mmkkiemh-1,Cluster 12,0,23.28
mmkkjalm-1,Cluster 2,0,13.91
mmkkjlnp-1,Cluster 7,0,13.48
mmkjfkkj-1,Cluster 7,0,22.81
mmklangp-1,Cluster 2,0,22.58
mmklfbdj-1,Cluster 5,0,9.44
mmkloeli-1,Cluster 11,0,10.25
mmkjpbei-1,Cluster 2,0,61.14
mmklkelp-1,Cluster 14,0,19.12
mmknefbm-1,Cluster 6,0,11.35
mmkkenbm-1,Cluster 1,0,18.49
mmkkddng-1,Cluster 8,0,5.66
mmkkooch-1,Cluster 2,0,6.65
mmkkbdik-1,Cluster 5,0,6.18
mmklbceb-1,Cluster 32,0,3.82
mmkjlhbb-1,Cluster 4,0,33.84
mmkkjefk-1,Cluster 14,0,16.17
mmklaggd-1,Cluster 2,0,14.87
mmlenonb-1,Cluster 7,0,49.54
mmlejlie-1,Cluster 4,0,7.32
mmlceann-1,Cluster 5,0,7.74
mmlcakcb-1,Cluster 12,0,16.12
mmlbopla-1,Cluster 17,0,6.75
mmlelknl-1,Cluster 5,0,8.83
mmleobbf-1,Cluster 2,0,4.10
mmlbpjlc-1,Cluster 23,0,14.37
mmldecgg-1,Cluster 7,0,33.27
mmlelfpj-1,Cluster 12,0,28.86
mmlcojdi-1,Cluster 7,0,40.55
mmldidll-1,Cluster 7,0,33.92
mmldbhce-1,Cluster 9,0,6.58
mmleaddl-1,Cluster 14,0,47.21
mmlblken-1,Cluster 7,0,64.27
mmleailf-1,Cluster 15,0,27.36
mmlbnfjl-1,Cluster 7,0,19.81
mmlecbfh-1,Cluster 7,0,67.50
mmlbolnm-1,Cluster 2,0,26.45
mmlejhof-1,Cluster 9,0,25.61
mmlebaih-1,Cluster 10,0,18.25
mmlebjbp-1,Cluster 7,0,38.92
mmlclkjn-1,Cluster 5,0,38.13
mmlbldio-1,Cluster 5,0,36.47
mmkikpna-1,Cluster 7,0,34.67
mmkhmkpp-1,Cluster 17,0,16.26
mmkigkke-1,Cluster 15,0,31.93
mmkjkgfi-1,Cluster 15,0,20.24
mmkkmcol-1,Cluster 4,0,9.15
mmkmofjo-1,Cluster 20,0,13.86
mmkkodgg-1,Cluster 4,0,22.02
mmklkaef-1,Cluster 2,0,48.13
mmklkbeo-1,Cluster 2,0,20.72
mmlcgfjo-1,Cluster 9,0,23.55
mmklpdme-1,Cluster 2,0,25.74
mmkmihpd-1,Cluster 8,0,34.06
mmkmbiap-1,Cluster 11,0,12.83
mmkkklid-1,Cluster 1,0,13.03
mmccjfgp-1,Cluster 8,0,26.55
mmkinmnb-1,Cluster 5,0,14.11
mmkjlfdk-1,Cluster 5,0,24.93
mmkhmfnm-1,Cluster 7,0,61.78
mmkgccdi-1,Cluster 7,0,49.41
mmcbjapl-1,Cluster 7,0,16.90
mmkiijmb-1,Cluster 7,0,35.59
mmkjnnfe-1,Cluster 7,0,32.41
mmkgbkfc-1,Cluster 5,0,23.42
mmkiccoi-1,Cluster 9,0,35.23
mmkhmlcg-1,Cluster 7,0,20.06
mmkghapa-1,Cluster 7,0,37.57
mmkhgbbl-1,Cluster 17,0,6.82
mmliifcg-1,Cluster 5,0,44.62
mmkgjooj-1,Cluster 7,0,28.83
mmlihmkm-1,Cluster 7,0,34.68
mmldjccp-1,Cluster 7,0,32.04
mmlfkmbc-1,Cluster 7,0,25.75
mmkgippm-1,Cluster 7,0,12.28
mmlfcbbg-1,Cluster 10,0,41.03
mmlikneb-1,Cluster 7,0,17.48
mmlfbekk-1,Cluster 7,0,26.12
mmlflnpn-1,Cluster 13,0,26.90
mmldkibb-1,Cluster 7,0,35.40
mmkinmaf-1,Cluster 16,0,5.29
mmkjdnlb-1,Cluster 14,0,9.60
mmkgdfpb-1,Cluster 2,0,29.22
